Date,Open,High,Low,Close,Volume
2022-08-31 21:00:00+00:00,20160,22738,18140,19387,27.74659999999997
2022-07-31 21:00:00+00:00,23742,25166,19488,20160,44.6248
2022-06-30 21:00:00+00:00,18683,24598,18639,23762,62.95090000000002
2022-05-31 21:00:00+00:00,31719,31907,17520,18698,62.947500000000005
2022-04-30 21:00:00+00:00,38376,39969,25340,31716,45.29819999999998
2022-03-31 21:00:00+00:00,45703,47452,37694,38376,23.6843
2022-02-28 22:00:00+00:00,41627,48229,37119,45712,35.037600000000054
2022-01-31 22:00:00+00:00,38376,45791,34300,41594,30.50279999999999
2021-12-31 22:00:00+00:00,46974,47919,32926,38382,43.55960000000008
2021-11-30 22:00:00+00:00,57025,59046,42387,47429,48.72229999999997
2021-10-31 21:00:00+00:00,60894,68933,53368,57058,50.73829999999999
2021-09-30 21:00:00+00:00,43374,66924,43233,60909,63.04660000000003
2021-08-31 21:00:00+00:00,46914,52884,39559,43373,53.75049999999998
2021-07-31 21:00:00+00:00,41492,50457,37307,46938,42.62170000000003
2021-06-30 21:00:00+00:00,34525,42317,29268,41492,34.83689999999998
2021-05-31 21:00:00+00:00,36650,41264,28796,34537,65.06200000000001
2021-04-30 21:00:00+00:00,56779,59534,29814,36650,74.74150000000006
2021-03-31 21:00:00+00:00,58919,64849,47058,56774,47.57580000000002
2021-02-28 22:00:00+00:00,45208,61722,44825,58917,52.40230000000005
2021-01-31 22:00:00+00:00,32634,58305,32312,45178,47.16819999999999
2020-12-31 22:00:00+00:00,29223,41967,27910,32549,951715.6904999998
2020-11-30 22:00:00+00:00,19358,29275,17566,28968,89.05310000000007
2020-10-31 21:00:00+00:00,13827,19858,13198,19357,58.88099999999998
2020-09-30 21:00:00+00:00,10685,14069,10366,13827,24.988599999999987
2020-08-31 21:00:00+00:00,11618,12005,9831,10687,52.76130000000004
2020-07-31 21:00:00+00:00,11569,12420,10907,11622,40.756700000000045
2020-06-30 21:00:00+00:00,9091,11398,8870,11271,2815.7251
2020-05-31 21:00:00+00:00,9450,10357,8854,9090,10163.751200000006
2020-04-30 21:00:00+00:00,8771,10016,8146,9362,19655.962600000006
2020-03-31 21:00:00+00:00,6424,9414,6103,8771,21352.41530000002
2020-02-29 22:00:00+00:00,8425,9124,3851,6424,19853.082699999995
2020-01-31 22:00:00+00:00,9378,10454,8381,8560,13056.817100000007
2019-12-31 22:00:00+00:00,7101,9508,6803,9248,15166.909299999992
2019-11-30 22:00:00+00:00,7297,7713,6379,7101,9120.995100000007
2019-10-31 21:00:00+00:00,9155,9507,6471,7688,11515.18009999999
2019-09-30 21:00:00+00:00,8181,9876,7247,9154,11871.817200000003
2019-08-31 21:00:00+00:00,9584,10888,7658,8181,9078.752900000003
2019-07-31 21:00:00+00:00,9968,12261,9270,9570,10465.769199999995
2019-06-30 21:00:00+00:00,11331,13132,9024,9968,18834.1399
2019-05-31 21:00:00+00:00,8627,13797,7385,12160,6314.898599999999
2019-04-30 21:00:00+00:00,5176,9026,5176,8447,2376.844899999998
2019-03-31 21:00:00+00:00,4038,5564,4000,5180,1429.9061999999983
2019-02-28 22:00:00+00:00,3741,4046,3613,4014,2721.951
2019-01-31 22:00:00+00:00,3358,3927,3278,3741,3062.9007
2018-12-31 22:00:00+00:00,3613,4049,3285,3357,24.661400000000015
2018-11-30 22:00:00+00:00,4086,4176,3077,3613,33.484100000000005
2018-10-31 21:00:00+00:00,6243,6478,3461,3871,27.878399999999974
2018-09-30 21:00:00+00:00,6503,7256,6061,6243,25.66550000000004
2018-08-31 21:00:00+00:00,7224,7344,6051,6588,60.65380000000002
2018-07-31 21:00:00+00:00,7643,7711,5827,6988,2715.046600000001
2018-06-30 21:00:00+00:00,6280,8421,6026,7633,26398.94250000001
2018-05-31 21:00:00+00:00,7475,7690,5732,5842,25402.51500000001
2018-04-30 21:00:00+00:00,9201,9727,6987,7476,26643.415
2018-03-31 21:00:00+00:00,6749,9683,6438,9201,29897.16499999998
2018-02-28 22:00:00+00:00,10479,11621,6516,6793,25279.5075
2018-01-31 22:00:00+00:00,9957,11716,5882,10471,17477.0206
2017-12-31 22:00:00+00:00,13496,16880,9125,9965,18258.266300000007
2017-11-30 22:00:00+00:00,9645,19510,9373,14308,42781.01760000001
2017-10-31 21:00:00+00:00,6377,11433,5603,9660,52439.57459999996
2017-09-30 21:00:00+00:00,4387,6415,4145,6372,44374.054499999984
2017-08-31 21:00:00+00:00,4741,4744,2973,4169,49408.53609999998
2017-07-31 21:00:00+00:00,2889,4767,2638,4741,47810.07010000003
