function_name,total_time,call_count,avg_time,cpu_time,wait_time,memory_usage,file
__reduce__,0.00025990000000000003,24,1.0829166666666668e-05,0.0001796,8.030000000000003e-05,,process.py
current_thread,0.0003127,173,1.8075144508670521e-06,0.00026670000000000003,4.599999999999998e-05,,threading.py
__getitem__,3.66e-05,2,1.83e-05,3.49e-05,1.7000000000000007e-06,,__init__.py
daemon,6.6e-06,12,5.5e-07,6.6e-06,0.0,,process.py
authkey,4.4e-06,12,3.6666666666666667e-07,4.4e-06,0.0,,process.py
create_string_buffer,7.390000000000001e-05,1,7.390000000000001e-05,7.27e-05,1.200000000000002e-06,,__init__.py
_checknetloc,4.0000000000000003e-07,1,4.0000000000000003e-07,4.0000000000000003e-07,0.0,,parse.py
__getattr__,4.75e-05,2,2.375e-05,7.9e-06,3.96e-05,,__init__.py
_kind_name,7.000000000000001e-07,1,7.000000000000001e-07,7.000000000000001e-07,0.0,,_dtype.py
full,0.0001271,18,7.0611111111111115e-06,8.33e-05,4.3799999999999994e-05,,numeric.py
is_dir,9.44e-05,1,9.44e-05,7.6e-06,8.680000000000001e-05,,pathlib.py
concatenate,1.0000000000000001e-07,1,1.0000000000000001e-07,1.0000000000000001e-07,0.0,,multiarray.py
copyto,3.6000000000000003e-06,18,2.0000000000000002e-07,3.6000000000000003e-06,0.0,,multiarray.py
__fspath__,4.000000000000001e-06,1,4.000000000000001e-06,3e-06,1.0000000000000006e-06,,pathlib.py
with_segments,1.0300000000000001e-05,1,1.0300000000000001e-05,2.8000000000000003e-06,7.500000000000001e-06,,pathlib.py
_vhstack_dispatcher,4.4e-06,1,4.4e-06,2.4000000000000003e-06,2e-06,,shape_base.py
__str__,1.0000000000000002e-06,1,1.0000000000000002e-06,1.0000000000000002e-06,0.0,,pathlib.py
__init__,8.1e-06,2,4.05e-06,5.2e-06,2.9e-06,,pathlib.py
urlsplit,4.4800000000000005e-05,1,4.4800000000000005e-05,3.27e-05,1.2100000000000003e-05,,parse.py
