ACTIVE,NAME,MARGIN,MIN_SIZE,CONTRACT_SIZE,TICK_VALUE,SWAP_LONG,SWAP_SHORT,ELIMINATED,COMISSION_PER_ORDER,SECTOR
SCHV,Schwab U.S. Large-Cap Value ET,20.00%,1.00,1 SCHV,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
SCZ,iShares MSCI EAFE Small-Cap ET,20.00%,1.00,1 SCZ,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
SKYY,First Trust Cloud Computing ET,20.00%,1.00,1 SKYY,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
SLV,iShares Silver Trust,20.00%,1.00,1 SLV,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
SMH,VanEck Vectors Semiconductor E,20.00%,1.00,1 SMH,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
SOXX,iShares PHLX Semiconductor ETF,20.00%,1.00,1 SOXX,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
SPDW,SPDR Portfolio Developed World,20.00%,1.00,1 SPDW,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
SPLV,Invesco S&P 500 Low Volatility,20.00%,1.00,1 SPLV,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
SPY,SPDR S&P 500 ETF Trust,20.00%,1.00,1 SPY,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
SPYG,SPDR Portfolio S&P 500 Growth,20.00%,1.00,1 SPYG,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
SPYV,SPDR Portfolio S&P 500 Value E,20.00%,1.00,1 SPYV,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
TIP,iShares TIPS Bond ETF,20.00%,1.00,1 TIP,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
TLT,iShares 20+ Year Treasury Bond,20.00%,1.00,1 TLT,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
USMV,iShares MSCI USA Min Vol Facto,20.00%,1.00,1 USMV,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
VDE,Vanguard Energy ETF,20.00%,1.00,1 VDE,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
VEA,Vanguard FTSE Developed Market,20.00%,1.00,1 VEA,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
VGT,Vanguard Information Technolog,20.00%,1.00,1 VGT,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
VHT,Vanguard Health Care ETF,20.00%,1.00,1 VHT,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
VLUE,iShares MSCI USA Value Factor,20.00%,1.00,1 VLUE,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
VNQ,Vanguard Real Estate ETF,20.00%,1.00,1 VNQ,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
