         130955 function calls (129194 primitive calls) in 33.150 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.001    0.000    0.002    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\dtypes\cast.py:1157(maybe_infer_to_datetimelike)
      156    0.001    0.000    0.067    0.000 C:\Users\spinz\anaconda3\Lib\logging\__init__.py:1011(handle)
      156    0.001    0.000    0.048    0.000 C:\Users\spinz\anaconda3\Lib\logging\__init__.py:1148(emit)
      316    0.001    0.000    0.002    0.000 C:\Users\spinz\anaconda3\Lib\threading.py:314(_is_owned)
      156    0.001    0.000    0.013    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\connection.py:342(_poll)
      156    0.001    0.000    0.014    0.000 C:\Users\spinz\anaconda3\Lib\logging\__init__.py:622(formatTime)
      310    0.001    0.000    0.001    0.000 {built-in method nt.getpid}
      322    0.001    0.000    0.001    0.000 {method '__enter__' of '_thread.lock' objects}
      6/1    0.001    0.000   33.044   33.044 c:\Users\spinz\OneDrive\Documentos\Portafolio oficial\HERMESDB\HERMESDB\test\src\ETLQ\Extract\modules\Extraction\Extraction_Data_Metatrader5\profiling_utils.py:17(wrapper)
      156    0.001    0.000    0.026    0.000 C:\Users\spinz\anaconda3\Lib\logging\__init__.py:1645(makeRecord)
       62    0.001    0.000    1.348    0.022 C:\Users\spinz\anaconda3\Lib\site-packages\psutil\__init__.py:1593(cpu_times)
       75    0.001    0.000    0.001    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
       68    0.001    0.000    0.124    0.002 C:\Users\spinz\anaconda3\Lib\site-packages\tqdm\std.py:1325(refresh)
       69    0.001    0.000    0.083    0.001 C:\Users\spinz\anaconda3\Lib\site-packages\tqdm\std.py:451(fp_write)
      156    0.001    0.000    0.005    0.000 <frozen ntpath>:257(splitext)
      317    0.001    0.000    0.001    0.000 {method 'release' of '_thread.lock' objects}
      684    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
       14    0.001    0.000    0.001    0.000 {built-in method _io.open}
      322    0.001    0.000    0.002    0.000 C:\Users\spinz\anaconda3\Lib\threading.py:299(__enter__)
      156    0.001    0.000    0.012    0.000 C:\Users\spinz\anaconda3\Lib\logging\__init__.py:1137(flush)
       31    0.001    0.000    0.003    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\psutil\__init__.py:1918(virtual_memory)
      4/0    0.001    0.000    0.000          C:\Users\spinz\anaconda3\Lib\threading.py:1018(_bootstrap)
       31    0.001    0.000    0.001    0.000 {built-in method psutil_windows.virtual_mem}
      312    0.001    0.000    0.001    0.000 C:\Users\spinz\anaconda3\Lib\logging\__init__.py:968(acquire)
       31    0.001    0.000    0.009    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\psutil\__init__.py:2034(disk_io_counters)
       32    0.001    0.000    0.400    0.012 C:\Users\spinz\anaconda3\Lib\site-packages\psutil\__init__.py:2091(net_io_counters)
      158    0.001    0.000    0.002    0.000 C:\Users\spinz\anaconda3\Lib\threading.py:394(notify)
      171    0.001    0.000    0.005    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\reduction.py:48(dumps)
      161    0.001    0.000    0.007    0.000 <frozen ntpath>:268(basename)
       31    0.001    0.000    0.002    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\psutil\_pswindows.py:229(virtual_memory)
      307    0.001    0.000    0.001    0.000 {method 'update' of 'set' objects}
      321    0.001    0.000    0.001    0.000 C:\Users\spinz\anaconda3\Lib\threading.py:302(__exit__)
      207    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
      156    0.001    0.000    0.372    0.002 C:\Users\spinz\anaconda3\Lib\logging\__init__.py:1686(handle)
       69    0.001    0.000    0.088    0.001 C:\Users\spinz\anaconda3\Lib\site-packages\tqdm\std.py:457(print_status)
       69    0.001    0.000    0.025    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\tqdm\std.py:1150(__str__)
      140    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
       90    0.001    0.000    0.001    0.000 {built-in method _winapi.CloseHandle}
      155    0.001    0.000    0.303    0.002 C:\Users\spinz\anaconda3\Lib\multiprocessing\queues.py:374(empty)
      156    0.001    0.000    0.001    0.000 {built-in method sys._getframe}
      156    0.001    0.000    0.016    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\connection.py:253(poll)
      276    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
       69    0.001    0.000    0.001    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\tqdm\std.py:1446(format_dict)
      309    0.001    0.000    0.001    0.000 {method 'write' of '_io.BytesIO' objects}
      406    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
       69    0.001    0.000    0.001    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\tqdm\std.py:186(__format__)
       63    0.001    0.000    0.005    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\psutil\_common.py:696(wrap_numbers)
      505    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
      393    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.RLock' objects}
        4    0.001    0.000    0.001    0.000 {built-in method nt.mkdir}
1486/1455    0.001    0.000    0.001    0.000 {built-in method builtins.len}
      689    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
      312    0.001    0.000    0.001    0.000 C:\Users\spinz\anaconda3\Lib\logging\__init__.py:831(filter)
       32    0.001    0.000    0.384    0.012 C:\Users\spinz\anaconda3\Lib\site-packages\psutil\_pswindows.py:393(net_io_counters)
       21    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      325    0.001    0.000    0.001    0.000 {method 'getbuffer' of '_io.BytesIO' objects}
       12    0.001    0.000    0.086    0.007 C:\Users\spinz\anaconda3\Lib\multiprocessing\popen_spawn_win32.py:45(__init__)
       61    0.001    0.000    0.001    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\psutil\_common.py:628(_remove_dead_reminders)
      991    0.001    0.000    0.001    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\connection.py:135(_check_closed)
     1020    0.001    0.000    0.001    0.000 {built-in method nt.fspath}
      156    0.001    0.000    0.051    0.000 C:\Users\spinz\anaconda3\Lib\logging\__init__.py:1266(emit)
       75    0.000    0.000    0.002    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\tqdm\std.py:106(release)
      207    0.000    0.000    0.018    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\tqdm\utils.py:374(_text_width)
        5    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
      311    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
      508    0.000    0.000    0.001    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\connection.py:169(fileno)
       34    0.000    0.000    0.001    0.000 {built-in method builtins.__build_class__}
      153    0.000    0.000    0.328    0.002 C:\Users\spinz\anaconda3\Lib\multiprocessing\pool.py:333(_maintain_pool)
        4    0.000    0.000    0.000    0.000 {built-in method nt._path_exists}
       74    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
      156    0.000    0.000    0.004    0.000 C:\Users\spinz\anaconda3\Lib\encodings\cp1252.py:18(encode)
       76    0.000    0.000    0.000    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
