MARGIN,MIN_SIZE,CONTRACT_SIZE,PIP_VALUE,SWAP_LONG,SWAP_SHORT,COMISSION_PER_ORDEN,TICK_VALUE,archivo
20.00%,1.0,1 XLE,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 XLF,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 XLI,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 XLK,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 XLP,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 XLU,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 XLV,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 XLY,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
1.00%,0.01,100000 AUD,10 CAD,0.30 CAD,-4.70 CAD,,,operative_costs_forex.csv
1.00%,0.01,100000 AUD,10 CHF,4.90 CHF,-7.30 CHF,,,operative_costs_forex.csv
1.00%,0.01,100000 AUD,1000 JPY,880.00 JPY,-1360.00 JPY,,,operative_costs_forex.csv
1.00%,0.01,100000 AUD,10 NZD,-2.50 NZD,-2.70 NZD,,,operative_costs_forex.csv
0.50%,0.01,100000 AUD,10 USD,-1.70 USD,-1.30 USD,,,operative_costs_forex.csv
1.00%,0.01,100000 CAD,10 CHF,3.20 CHF,-6.50 CHF,,,operative_costs_forex.csv
1.00%,0.01,100000 CAD,1000 JPY,700.00 JPY,-1190.00 JPY,,,operative_costs_forex.csv
1.00%,0.01,100000 CHF,1000 JPY,-260.00 JPY,-530.00 JPY,,,operative_costs_forex.csv
1.00%,0.01,100000 EUR,10 AUD,-9.90 AUD,2.10 AUD,,,operative_costs_forex.csv
1.00%,0.01,100000 EUR,10 CAD,-4.00 CAD,-2.00 CAD,,,operative_costs_forex.csv
1.00%,0.01,100000 EUR,10 CHF,4.50 CHF,-8.90 CHF,,,operative_costs_forex.csv
1.00%,0.01,100000 EUR,10 GBP,-6.00 GBP,2.10 GBP,,,operative_costs_forex.csv
1.00%,0.01,100000 EUR,1000 JPY,920.00 JPY,-1680.00 JPY,,,operative_costs_forex.csv
3.00%,0.01,100000 EUR,10 MXN,-667.60 MXN,119.60 MXN,,,operative_costs_forex.csv
1.00%,0.01,100000 EUR,10 NOK,-90.50 NOK,0.20 NOK,,,operative_costs_forex.csv
1.00%,0.01,100000 EUR,10 NZD,-11.90 NZD,-0.20 NZD,,,operative_costs_forex.csv
1.00%,0.01,100000 EUR,10 SEK,-23.80 SEK,-54.60 SEK,,,operative_costs_forex.csv
0.50%,0.01,100000 EUR,10 USD,-7.10 USD,2.00 USD,,,operative_costs_forex.csv
1.00%,0.01,100000 GBP,10 AUD,-2.10 AUD,-7.00 AUD,,,operative_costs_forex.csv
1.00%,0.01,100000 GBP,10 CAD,3.70 CAD,-11.20 CAD,,,operative_costs_forex.csv
1.00%,0.01,100000 GBP,10 CHF,10.20 CHF,-16.50 CHF,,,operative_costs_forex.csv
1.00%,0.01,100000 GBP,1000 JPY,2030.00 JPY,-2960.00 JPY,,,operative_costs_forex.csv
3.00%,0.01,100000 GBP,10 MXN,-533.90 MXN,166.30 MXN,,,operative_costs_forex.csv
1.00%,0.01,100000 GBP,10 NOK,-80.60 NOK,-102.50 NOK,,,operative_costs_forex.csv
1.00%,0.01,100000 GBP,10 NZD,-1.60 NZD,-7.30 NZD,,,operative_costs_forex.csv
1.00%,0.01,100000 GBP,10 SEK,38.30 SEK,-131.40 SEK,,,operative_costs_forex.csv
0.50%,0.01,100000 GBP,10 USD,-2.40 USD,-4.30 USD,,,operative_costs_forex.csv
1.00%,0.01,100000 NZD,10 CAD,0.50 CAD,-3.90 CAD,,,operative_costs_forex.csv
1.00%,0.01,100000 NZD,10 CHF,4.10 CHF,-6.50 CHF,,,operative_costs_forex.csv
1.00%,0.01,100000 NZD,1000 JPY,610.00 JPY,-1420.00 JPY,,,operative_costs_forex.csv
1.00%,0.01,100000 NZD,10 USD,-1.70 USD,-1.20 USD,,,operative_costs_forex.csv
0.50%,0.01,100000 USD,10 CAD,5.10 CAD**,-24.30 CAD**,,,operative_costs_forex.csv
1.00%,0.01,100000 USD,10 CHF,7.50 CHF,-13.00 CHF,,,operative_costs_forex.csv
0.50%,0.01,100000 USD,1000 JPY,1420.00 JPY,-2250.00 JPY,,,operative_costs_forex.csv
3.00%,0.01,100000 USD,10 MXN,-440.10 MXN,163.30 MXN,,,operative_costs_forex.csv
1.00%,0.01,100000 USD,10 NOK,-43.80 NOK,-43.80 NOK,,,operative_costs_forex.csv
1.00%,0.01,100000 USD,10 SEK,-27.30 SEK,-144.40 SEK,,,operative_costs_forex.csv
5.00%,0.01,100000 USD,10 SGD,1.10 SGD,-7.40 SGD,,,operative_costs_forex.csv
4.00%,0.01,10 x AUS200,1 AUD,-13.39 AUD,6.42 AUD,,1 AUD,operative_costs_indices.csv
4.00%,0.01,10 x FCHI40,1 EUR,-9.34 EUR,3.10 EUR,,1 EUR,operative_costs_indices.csv
4.00%,0.01,10 x GDAXI,1 EUR,-26.49 EUR,8.30 EUR,,1 EUR,operative_costs_indices.csv
4.00%,0.01,10 x NDX,1 USD,-36.71 USD,17.74 USD,,1 USD,operative_costs_indices.csv
4.00%,0.1,100 x NI225,0.01 JPY,-188.93 JPY,-140.71 JPY,,0.01 JPY,operative_costs_indices.csv
4.00%,0.01,10 x SP500,1 USD,-9.76 USD,4.84 USD,,1 USD,operative_costs_indices.csv
4.00%,0.1,10 x SPA35,1 EUR,-15.70 EUR,4.77 EUR,,1 EUR,operative_costs_indices.csv
4.00%,0.01,10 x STOXX50E,1 EUR,-6.27 EUR,2.08 EUR,,1 EUR,operative_costs_indices.csv
4.00%,0.01,10 x UK100,1 GBP,-14.34 GBP,7.40 GBP,,1 GBP,operative_costs_indices.csv
4.00%,0.01,1 x WS30,1 USD,-7.04 USD,3.49 USD,,1 USD,operative_costs_indices.csv
20.00%,1.0,1 AAL,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 AAPL,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 ACHC,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 ADBE,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 ADI,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 ADP,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 ADSK,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 AEP,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 AKAM,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 ALGN,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 ALNY,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 AMAT,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 AMD,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 AMED,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 AMGN,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 AMKR,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 AMZN,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 ANSS,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 APA,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 APLS,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 ARCC,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 ARWR,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 AVGO,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 AXON,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 AZPN,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 AZTA,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 BIIB,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 BKNG,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 BKR,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 BL,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 BMRN,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 BPMC,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 BRKR,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 CACC,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 CAR,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 CASY,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 CDNS,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 CDW,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 CG,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 CGNX,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 CHDN,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 CHRW,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 CHTR,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 CHX,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 CINF,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 CMCSA,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 CME,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 COIN,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 COLM,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 COO,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 COST,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 CPRT,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 CROX,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 CRWD,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 CSCO,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 CSGP,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 CSX,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 CTAS,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 CTSH,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 DBX,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 DDOG,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 DLTR,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 DNLI,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 DOCU,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 DOX,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 DPZ,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 DXCM,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 EA,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 EBAY,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 EEFT,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 ENPH,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 ENTG,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 ETSY,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 EVRG,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
100.00%,1.0,1 EWBC,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 EXC,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 EXEL,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 EXPE,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 EXPI,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 FANG,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 FAST,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 FFIV,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
50.00%,1.0,1 FITB,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 FIVE,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 FIVN,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 FLEX,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 FOX,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 FOXA,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 FOXF,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 FRPT,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 FSLR,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 FTNT,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 GEN,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 GH,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 GILD,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 GNTX,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
20.00%,1.0,1 GOOG,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_stocks.csv
